,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision,threshold
XGBoost,0.9,0.8912607618822974,0.8153846153846154,0.8688524590163934,0.8412698412698413,0.94751739591933,0.9143880210758724,0.5199999999999998
Random Forest,0.905,0.8948578841844557,0.828125,0.8688524590163934,0.848,0.9510555490034202,0.9225921027510515,0.4399999999999999
ANN,0.905,0.8856586861658214,0.85,0.8360655737704918,0.8429752066115702,0.9463380115579667,0.9234783484005977,0.6199999999999998
